   I        Q 
 -53     -478 
-1062      319 
 478      265 
-106     -478 
 849     -265 
 584     -319 
-584      478 
 319     -743 
-584     -531 
-531      531 
-212      743 
-743      425 
-584     -319 
  53     -584 
-690      478 
-849      531 
 743     -265 
 531     -319 
 584      425 
 265     -106 
 -53     -106 
 690     -637 
 849     -849 
-265      690 
1062     -106 
-849     -372 
-849     1009 
-319     -212 
-265        0 
 265      478 
 372      106 
-372      319 
 478      265 
 372     -425 
-743      372 
 319    -1062 
 584      425 
-531      478 
-265     -106 
 531      425 
1168     -265 
-159      903 
-159      478 
 265     1327 
-159      265 
-425      531 
-637      743 
-849     -637 
 956     -372 
 212      690 
 159      319 
 159     -372 
-425     -425 
 265     1221 
 637      690 
-849     -159 
 212     -372 
 106        0 
 159      106 
   0     -106 
 212     -425 
-584     -743 
 265     -319 
 106     -372 
-212      478 
 265     -265 
-265     -106 
-265       53 
 212    -1009 
-212      425 
-796      106 
-849      425 
-425      743 
 956     -796 
1221     1062 
 -53      372 
-796       53 
   0      -53 
 372     -159 
1327      478 
 903       53 
-212     -159 
-637      478 
-265     -212 
-584      106 
 690     -478 
-212     -265 
-106     1062 
-478     -531 
 319     -159 
-478     -743 
 372      319 
-531      743 
 159        0 
-265     -159 
 372     1115 
-372     -425 
-372      319 
-531     -903 
 -53      -53 
-265     -106 
-265      319 
 478      743 
 690      -53 
-159     -478 
1009     -425 
 425      159 
 903      106 
-531      903 
-265      319 
 478      425 
 372     -637 
 690      319 
 159     -478 
 212      106 
-159      265 
-265      212 
 319     -637 
 106     1062 
   0     -212 
 265     -212 
-372      -53 
-531     -159 
 372      584 
 159     1009 
-903     -372 
-372        0 
-1062     -319 
 372     -159 
 265     -478 
 106     -265 
 265     -531 
-372     -265 
-265      956 
   0     -212 
 584      584 
 265     -319 
 -53     -690 
 584      265 
   0     -584 
-319      372 
 478        0 
 159     -478 
-584     -106 
-584      690 
-372     1009 
 478    -1274 
 319     -372 
  53      265 
-106     -159 
 106      372 
 690      319 
 372      -53 
-265      319 
-106     -106 
 265      637 
-212      903 
 584      -53 
 159      531 
 743    -1009 
-106     -637 
-212      372 
1062     -637 
