   I        Q 
9.826249e+00        0 
1.484135e+01        0 
2.841082e+01        0 
1.851416e+01        0 
1.523843e+01        0 
9.948613e+00        0 
3.510173e+01        0 
2.847867e+01        0 
1.571474e+01        0 
1.787539e+01        0 
1.873888e+01        0 
1.514654e+01        0 
1.777033e+01        0 
2.487841e+01        0 
1.893299e+01        0 
9.701420e+00        0 
9.415002e+00        0 
7.064102e+00        0 
1.059755e+01        0 
1.571889e+01        0 
7.140443e+00        0 
2.093427e+01        0 
1.502743e+01        0 
2.223511e+01        0 
2.980816e+01        0 
2.151248e+01        0 
2.569284e+01        0 
1.560015e+01        0 
1.454769e+01        0 
3.420176e+01        0 
1.106889e+01        0 
2.843650e+01        0 
2.897523e+01        0 
2.240039e+01        0 
2.850981e+00        0 
7.042088e+00        0 
9.935858e+00        0 
1.875176e+01        0 
3.148391e+01        0 
1.383968e+01        0 
1.656392e+01        0 
1.926183e+01        0 
1.219593e+01        0 
1.574385e+01        0 
1.083212e+01        0 
3.006372e+01        0 
1.527307e+01        0 
9.790013e+00        0 
1.151010e+01        0 
8.710297e+00        0 
1.295361e+01        0 
1.367848e+01        0 
1.633828e+01        0 
2.741494e+01        0 
1.764344e+01        0 
1.512004e+01        0 
1.124085e+01        0 
7.783785e+00        0 
4.036216e+00        0 
2.632770e+01        0 
4.488100e+01        0 
2.427625e+01        0 
3.138121e+01        0 
3.557887e+01        0 
1.209412e+01        0 
1.961265e+01        0 
4.907827e+00        0 
7.783122e-01        0 
3.425120e+00        0 
9.091955e+00        0 
2.595628e+01        0 
3.741568e+01        0 
1.568505e+01        0 
7.867279e+00        0 
2.640807e+01        0 
2.566727e+01        0 
1.552937e+01        0 
1.478761e+01        0 
1.137254e+01        0 
1.818938e+01        0 
1.221911e+01        0 
1.368635e+01        0 
4.840233e+01        0 
4.283693e+01        0 
2.104354e+01        0 
3.259144e+01        0 
1.910175e+01        0 
2.171156e+01        0 
1.667995e+01        0 
1.865779e+01        0 
2.947589e+01        0 
1.631430e+01        0 
9.057634e+00        0 
2.065457e+01        0 
2.342375e+01        0 
1.245082e+01        0 
1.726644e+01        0 
1.245424e+01        0 
3.759298e+01        0 
4.622189e+01        0 
2.668827e+01        0 
1.514033e+01        0 
2.096468e+01        0 
1.993728e+01        0 
1.558004e+01        0 
1.662062e+01        0 
2.471234e+01        0 
2.845911e+01        0 
1.958729e+01        0 
9.167921e+00        0 
2.436171e+01        0 
2.186288e+01        0 
8.738041e+00        0 
1.725148e+01        0 
4.108229e+00        0 
1.934262e+01        0 
1.483934e+01        0 
4.150115e+01        0 
3.841013e+01        0 
6.388348e+00        0 
2.590668e+01        0 
2.290452e+01        0 
3.490866e+01        0 
1.294735e+01        0 
8.977440e+00        0 
1.477476e+01        0 
1.765864e+01        0 
1.766924e+01        0 
1.567269e+01        0 
5.248807e+00        0 
9.320457e+00        0 
2.653614e+01        0 
3.363329e+01        0 
1.543631e+01        0 
1.713681e+01        0 
1.167072e+01        0 
2.429823e+01        0 
2.848615e+01        0 
2.509913e+01        0 
2.746723e+01        0 
7.228652e+00        0 
3.382147e+00        0 
2.041015e+01        0 
2.284559e+01        0 
3.526242e+01        0 
9.181390e+00        0 
1.879621e+01        0 
1.968210e+01        0 
1.321160e+01        0 
1.945699e+01        0 
3.921798e+01        0 
2.573455e+01        0 
6.614976e+00        0 
3.447972e+01        0 
3.394691e+01        0 
5.159136e+00        0 
1.017874e+01        0 
1.586429e+01        0 
4.685655e+00        0 
1.154009e+01        0 
1.567567e+01        0 
1.027614e+01        0 
3.355674e+01        0 
2.241642e+01        0 
2.449193e+01        0 
2.529794e+01        0 
1.831449e+01        0 
1.795563e+01        0 
3.041405e+01        0 
2.230278e+01        0 
1.451209e+01        0 
1.593847e+01        0 
1.758614e+01        0 
1.152569e+01        0 
8.137621e+00        0 
9.895547e+00        0 
3.035754e+01        0 
2.514986e+01        0 
3.183001e+01        0 
2.374980e+01        0 
2.068401e+01        0 
2.210844e+01        0 
1.900297e+01        0 
2.153967e+01        0 
8.947407e+00        0 
1.337160e+01        0 
1.379997e+01        0 
1.703948e+01        0 
4.275368e+00        0 
1.546773e+01        0 
1.179177e+01        0 
2.778578e+01        0 
1.643217e+01        0 
5.792870e+00        0 
2.383836e+01        0 
1.487637e+01        0 
1.787084e+01        0 
5.844735e+00        0 
3.055092e+01        0 
1.163484e+01        0 
2.916253e+01        0 
1.436607e+01        0 
8.480348e+00        0 
2.559009e+01        0 
1.749238e+01        0 
7.085252e+00        0 
2.165238e+01        0 
1.696238e+01        0 
1.823004e+01        0 
1.670176e+01        0 
1.018158e+01        0 
1.934079e+01        0 
3.545085e+01        0 
2.929049e+01        0 
2.558988e+01        0 
4.227455e+00        0 
7.975942e+00        0 
4.293227e+01        0 
4.269514e+01        0 
3.379804e+00        0 
1.661201e+01        0 
8.327475e+00        0 
2.228211e+01        0 
2.240677e+01        0 
4.730605e+00        0 
2.220633e+00        0 
1.327676e+00        0 
1.354721e+01        0 
1.501309e+01        0 
7.433447e+00        0 
1.041162e+01        0 
1.952026e+01        0 
1.781679e+00        0 
2.836831e+01        0 
3.775030e+01        0 
1.199957e+01        0 
2.932954e+01        0 
1.795573e+01        0 
1.812443e+01        0 
1.669335e+01        0 
1.271412e+01        0 
2.327637e+01        0 
2.596807e+01        0 
1.389269e+01        0 
1.728767e+01        0 
4.133276e+00        0 
2.659941e+01        0 
2.783548e+01        0 
1.459746e+01        0 
1.353881e+01        0 
1.495474e+01        0 
1.310350e+01        0 
1.104179e+01        0 
8.157099e+00        0 
2.065493e+01        0 
2.158548e+01        0 
8.335417e+00        0 
3.030556e+01        0 
4.420220e+01        0 
2.359122e+01        0 
2.587117e+01        0 
4.826955e+01        0 
3.710572e+01        0 
4.700714e+01        0 
2.590992e+01        0 
3.161963e+01        0 
3.031429e+01        0 
3.054345e+01        0 
3.317232e+01        0 
1.656221e+01        0 
